n1	n2
AAKJLRGGTJKAMG-UHFFFAOYSA-N	O75469
AAKJLRGGTJKAMG-UHFFFAOYSA-N	P00533
AAKJLRGGTJKAMG-UHFFFAOYSA-N	P04626
AATCBLYHOUOCTO-UHFFFAOYSA-N	P78527
ABZSPJVXTTUFAA-UHFFFAOYSA-N	Q13547
ABZSPJVXTTUFAA-UHFFFAOYSA-N	Q92769
AECDBHGVIIRMOI-UHFFFAOYSA-N	P08069
AJRGHIGYPXNABY-UHFFFAOYSA-N	Q9BY41
ALXLLOQTGLPCFG-ATANMQQVSA-N	P06748
AOJJSUZBOXZQNB-UHFFFAOYSA-N	P11388
AOJJSUZBOXZQNB-VTZDEGQISA-N	O14646
AOJJSUZBOXZQNB-VTZDEGQISA-N	P11388
AQGNHMOJWBZFQQ-UHFFFAOYSA-N	P06493
AQGNHMOJWBZFQQ-UHFFFAOYSA-N	P28482
AQGNHMOJWBZFQQ-UHFFFAOYSA-N	P49840
AQGNHMOJWBZFQQ-UHFFFAOYSA-N	P49841
AQIXAKUUQRKLND-UHFFFAOYSA-N	O43143
AQIXAKUUQRKLND-UHFFFAOYSA-N	Q7RTT9
AQIXAKUUQRKLND-UHFFFAOYSA-N	Q86VL8
AQIXAKUUQRKLND-UHFFFAOYSA-N	Q96FL8
AULLUGALUBVBDD-UHFFFAOYSA-N	Q96KQ7
AUZONCFQVSMFAP-UHFFFAOYSA-N	P05091
AUZONCFQVSMFAP-UHFFFAOYSA-N	P09172
AVXQPEKZIGPIJW-UHFFFAOYSA-N	P25116
BBTMGPQSLSYPHE-ZHZULCJRSA-N	P07900
BBTMGPQSLSYPHE-ZHZULCJRSA-N	P08238
BCFGMOOMADDAQU-UHFFFAOYSA-N	P00533
BCFGMOOMADDAQU-UHFFFAOYSA-N	P04626
BCZUAADEACICHN-UHFFFAOYSA-N	P08581
BDUHCSBCVGXTJM-UHFFFAOYSA-N	P04637
BDUHCSBCVGXTJM-UHFFFAOYSA-N	Q00987
BFSMGDJOXZAERB-UHFFFAOYSA-N	P12724
BFSMGDJOXZAERB-UHFFFAOYSA-N	P15056
BFSMGDJOXZAERB-UHFFFAOYSA-N	P53667
BFSMGDJOXZAERB-UHFFFAOYSA-N	P57059
BFSMGDJOXZAERB-UHFFFAOYSA-N	Q8NG66
BGBNULCRKBVAKL-UHFFFAOYSA-N	P04637
BIIVYFLTOXDAOV-YVEFUNNKSA-N	P00533
BIIVYFLTOXDAOV-YVEFUNNKSA-N	P06493
BIIVYFLTOXDAOV-YVEFUNNKSA-N	P11217
BIIVYFLTOXDAOV-YVEFUNNKSA-N	P11802
BIIVYFLTOXDAOV-YVEFUNNKSA-N	P24941
BIIVYFLTOXDAOV-YVEFUNNKSA-N	P49336
BIIVYFLTOXDAOV-YVEFUNNKSA-N	P50613
BIIVYFLTOXDAOV-YVEFUNNKSA-N	P50750
BIIVYFLTOXDAOV-YVEFUNNKSA-N	Q00534
BIIVYFLTOXDAOV-YVEFUNNKSA-N	Q00535
BIODYGOZWZNCAG-UHFFFAOYSA-N	Q7L5A8
BKJIXTWSNXCKJH-UHFFFAOYSA-N	P0DMV8
BKQFRNYHFIQEKN-UHFFFAOYSA-N	P21796
BKQFRNYHFIQEKN-UHFFFAOYSA-N	P45880
BKQFRNYHFIQEKN-UHFFFAOYSA-N	Q9UPY5
BKWJAKQVGHWELA-UHFFFAOYSA-N	P30291
BMGQWWVMWDBQGC-PZFYLCKJSA-N	P05129
BMGQWWVMWDBQGC-PZFYLCKJSA-N	P10721
BMGQWWVMWDBQGC-PZFYLCKJSA-N	P36888
BMKPVDQDJQWBPD-UHFFFAOYSA-N	P30304
BMKPVDQDJQWBPD-UHFFFAOYSA-N	P30305
BMKPVDQDJQWBPD-UHFFFAOYSA-N	P30307
BNRNXUUZRGQAQC-UHFFFAOYSA-N	O76074
BNRNXUUZRGQAQC-UHFFFAOYSA-N	P18545
BNRNXUUZRGQAQC-UHFFFAOYSA-N	Q13956
BNRNXUUZRGQAQC-UHFFFAOYSA-N	Q9NPD5
