A1.001,A,A1,2D fingerprints,2048-bit Morgan fingerprints,Binary representation of the 2D structure of a molecule. The neighborhood of every atom is encoded using circular topology hashing.,f,t,CPD,,t,t,t
A2.001,A,A2,3D fingerprints,1024-bit E3FP fingerprints,The 3D structures of the three best conformers after energy minimization are hashed into a binary representation without the need for structural alignment.,f,t,CPD,,t,t,t
A3.001,A,A3,Scaffolds,Morgan scaffolds and 1024-bit Morgan fingerprints,"Largest molecular scaffold (usually a ring system) remaining after applying Murcko's pruning rules. Additionally, we keep the corresponding framework, i.e. a version of the scaffold where all atoms are carbons and all bonds are single. The scaffold and the framework are encoded with path-based 1024-bit fingerprints, suitable for capturing substructures in similarity searches.",f,t,CPD,,t,t,t
A4.001,A,A4,Structural keys,166-bit MACCS keys,166 functional groups and substructures widely accepted by medicinal chemists (MACCS keys).,f,t,CPD,,t,t,t
A5.001,A,A5,Physicochemistry,Standard drug descriptors,"Physicochemical properties such as molecular weight, logP and refractivity. Number of hydrogen-bond donors and acceptors, rings, etc. Drug-likeness measurements e.g. number of structural alerts, Lipinski's rule-of-5 violations or chemical beauty (QED).",f,f,CPD,,t,t,t
B1.001,B,B1,Mechanism of action,Targets with a known therapeutic effect,"Drug targets with known pharmacological action and modes (agonist, antagonist, etc.).",t,t,CPD,GEN,t,t,t
B2.001,B,B2,Metabolic genes,"Drug metabolizing enzymes, transporters and carriers","Drug metabolizing enzymes, transporters and carriers.",t,t,CPD,GEN,t,t,t
B3.001,B,B3,Crystals,Compound-protein co-crystals encoded with ECOD domains,Small molecules co-crystalized with protein chains. Data is organized according to the structural families of the protein chains.,t,t,CPD,GEN,t,t,t
B4.001,B,B4,Binding,Physical binding data extracted mainly from the literature,"Compound-protein binding data available in major public chemogenomics databases. Data mainly comes from academic publications and patents. Only binding affinities below a class-specific threshold are kept (kinases: 30 nM, GPCRs: 100 nM, nuclear receptors: 100 nM, ion channels: 10 uM and others: 1 uM).",t,t,CPD,GEN,t,t,t
B5.001,B,B5,HTS bioassays,"Compound-protein interaction data, including functional assays, mainly extracted from HTS bioassays",Hits from screening campaigns against protein targets (mainly confirmatory functional assays below 10 uM).,t,t,CPD,GEN,t,t,t
